Unnamed: 0,Public company,Type,Income,Year
607,1181,上半年收入,190.8亿元,2011
608,860,上半年收入,451.3亿元,2011
609,1165,上半年收入,593.2亿元,2011
610,866,上半年收入,424.1亿元,2011
611,899,上半年收入,106.2亿港元,2011
612,855,上半年收入,522.5亿元,2011
613,1182,上半年收入,921.2亿美元,2011
614,917,上半年收入,97.5亿港元,2011
615,951,上半年收入,137.6亿港元,2011
616,1104,上半年收入,532.3亿港元,2011
617,854,上半年收入,245.7亿元,2011
618,912,上半年收入,1014亿元,2011
619,908,上半年收入,93.2亿港元,2011
620,1094,上半年收入,2.7867亿美元,2011
621,900,上半年收入,82亿元,2011
622,1183,上半年收入,364.8亿元,2011
623,907,上半年收入,104.7亿港元,2011
624,1114,上半年收入,202.1亿元,2011
625,897,上半年收入,225.4亿元,2011
626,1184,上半年收入,16亿元,2011
627,904,上半年收入,105.4亿元,2011
628,985,上半年收入,290.3亿港元,2011
629,975,上半年收入,202.2亿元,2011
630,309,上半年收入,75.1亿元,2011
631,909,上半年收入,76.8亿港元,2011
632,1185,上半年收入,459.4亿港元,2011
633,1118,上半年收入,206亿元,2011
634,1186,上半年收入,264亿元,2011
635,919,上半年收入,500.8亿元,2011
636,1153,上半年收入,19.4亿元,2011
637,881,上半年收入,424.4亿元,2011
638,923,上半年收入,402.5亿港元,2011
639,1187,上半年收入,223.3亿元,2011
640,1140,上半年收入,121.9亿港元,2011
641,954,上半年收入,162亿港元,2011
642,944,上半年收入,88亿美元,2011
643,1013,上半年收入,170.8亿港元,2011
644,1027,上半年收入,378亿港元,2011
645,978,上半年收入,373.5亿元,2011
646,921,上半年收入,467.9亿港元,2011
647,852,上半年收入,158.5亿元,2011
648,1172,上半年收入,640.5亿元,2011
649,893,上半年收入,218.8亿港元,2011
650,976,上半年收入,200亿元,2011
651,1028,上半年收入,29.2亿美元,2011
652,1162,上半年收入,261亿港元,2011
653,1163,上半年收入,873.6亿港元,2011
654,1188,上半年收入,290.6亿美元,2011
655,1144,上半年收入,6.102亿美元,2011
656,34,上半年收入,357亿美元,2011
657,965,上半年收入,46.8亿港元,2011
658,1028,上半年收入,27.4亿美元,2011
659,1189,上半年收入,150.8亿港元,2011
660,1190,上半年收入,176.9亿港元,2011
661,989,上半年收入,27.9亿港元,2011
662,988,上半年收入,25.2亿港元,2011
663,850,上半年收入,201.5亿元,2010
664,913,上半年收入,85.7亿港元,2010
665,1086,上半年收入,16.8亿港元,2010
666,979,上半年收入,289亿元,2010
667,959,上半年收入,53.2亿美元,2010
668,1176,上半年收入,32.3亿美元,2010
669,847,上半年收入,1740.3亿元,2010
670,1191,上半年收入,212万港元,2010
671,1027,上半年收入,267.2亿港元,2010
672,1059,上半年收入,20亿港元,2010
673,917,上半年收入,86.2亿港元,2010
674,951,上半年收入,125.2亿港元,2010
675,1192,上半年收入,222.5亿元,2010
676,882,上半年收入,697.3亿元,2010
677,1168,上半年收入,979.4亿元,2010
678,309,上半年收入,79.1亿元,2010
679,974,上半年收入,618.5亿元,2010
680,909,上半年收入,124.1亿港元,2010
681,1193,上半年收入,125.1亿元,2010
682,1194,上半年收入,50.4亿元,2010
683,1186,上半年收入,218亿元,2010
684,1195,上半年收入,54.5亿美元,2010
685,1196,上半年收入,87.3亿元,2010
686,899,上半年收入,21.8亿港元,2010
687,916,上半年收入,19.8亿美元,2010
688,855,上半年收入,848亿元,2010
689,912,上半年收入,821.1亿元,2010
690,1197,上半年收入,993亿元,2010
691,1104,上半年收入,419.8亿港元,2010
692,1152,上半年收入,381.9亿元,2010
693,997,上半年收入,160.4亿元,2010
694,860,上半年收入,343.1亿元,2010
695,1181,上半年收入,179.1亿元,2010
696,1198,上半年收入,476.2亿元,2010
